first_name,last_name,gender,dob,education_level,parent_first_name,parent_last_name,contact_number,email
Wren,Clark,female,1 01 2014,p3,Jonathan,Williams,91222222,JonathanWilliams@mail.com
Madge,Dennis,male,2 02 2013,p4,Kimberly,Yeo,91333333,KimberlyYeo@mail.com
Alfred,Mitchell,male,3 03 2014,p3,Jessica,Lim,91444444,JessicaLim@mail.com
Troy,Sharp,male,4 04 2016,k2,Shirley,Tan,91555555,ShirleyTan@mail.com
Len,Davis,male,5 05 2017,k1,Mary,Lin,91666666,MaryLin@mail.com
Kayden,Tan,male,6 01 2019,k1,Shirley,Lee,91777777,ShirleyLee@mail.com
Kacy,Yeo,female,7 07 2019,k1,Shi Hui,Tan,91888888,shihui_tan@mail.com
Mandy,Lee,female,8 08 2014,p3,Steven,Ong,91999999,StevenOng@mail.com
Joyce,Lim,female,9 09 2015,p2,Hui Wen,Lee,92111110,huiwenlee@mail.com
David,Ong,male,10 10 2015,p2,Jia Jia,Ong,92222221,jiajia@mail.com
